sign_name,abz_number,meszl_number,image
BAR,074 (48),121,sign_074.bmp
SUD,373,584,sign_373.bmp
EDURU,583,845,sign_583.bmp
NIK,563,898,sign_563.bmp
GIL,67,105,sign_067.bmp
ŠÍK,539,816,sign_539.bmp
KIL,483,755,sign_483.bmp
GAZ,192,340,sign_192.bmp
NÍNDA,176,316,sign_176.bmp
ŠA,353,566,sign_353.bmp
ŠÁ,597,859,sign_597.bmp
BAPPIR,225,373,sign_225.bmp
KÁD,063a,108,sign_63a.bmp
PA,295,464,sign_295.bmp
IS,296,469,sign_296.bmp
TAG,126,221,sign_126.bmp
ṬU,595,836,sign_595.bmp
LIL,336,544,sign_336.bmp
DAR,114,183,sign_114.bmp
KIB,228,378,sign_228.bmp
GAB,167,298,sign_167.bmp
PAN,439,685,sign_439.bmp
BURU14,54,165,sign_054.bmp
SILA4,252,408,sign_252.bmp
GIG,446,705,sign_446.bmp
DAH,169,301,sign_169.bmp
LUH,321,494,sign_321.bmp
DAG,280,438,sign_280.bmp
MÁŠ,76,130,sign_076.bmp
U8,494,766,sign_494.bmp
AMAR,437,695,sign_437.bmp
BUL,515,788,sign_515.bmp
ÙR,255,411,sign_255.bmp
GAM,362,576,sign_362.bmp
GÁ,233,387,sign_233.bmp
AMA,237,392,sign_237.bmp
DUB,138,242,sign_138.bmp
EL,564,899,sign_564.bmp
NAGAR,560,893,sign_560.bmp
GARIM,513,790,sign_513.bmp
AR,451,726,sign_451.bmp
SÙH,569,892,sign_569.bmp
LAM,435,693,sign_435.bmp
GIR4,430,683,sign_430.bmp
KAB,88,148,sign_088.bmp
KUN,77,131,sign_077.bmp
HAL,2,3,sign_002.bmp
MUŠ,374,585,sign_374.bmp
MÙŠ,103,153,sign_103.bmp
DUL,459,720,sign_459.bmp
GÉME,558,890,sign_558.bmp
GAŠAN,350,562,sign_350.bmp
ANŠE,208,353,sign_208.bmp
GUD,297,472,sign_297.bmp
KASKAL,166,302,sign_166.bmp
ŠIM,215,362,sign_215.bmp
EŠ,472,711,sign_472.bmp
ṢI,147,259,sign_147.bmp
LUL,355,570,sign_355.bmp
SAL,554,883,sign_554.bmp
GIM,440,686,sign_440.bmp
SA6,356,571,sign_356.bmp
UŠ,211,381,sign_211.bmp
TUR,144,255,sign_144.bmp
IB,535,807,sign_535.bmp
IR,232,437,sign_232.bmp
PAP,60,92,sign_060.bmp
MIR,347,556,sign_347.bmp
SUR,101,151,sign_101.bmp
ÚR,203,341,sign_203.bmp
GAD,90,157,sign_090.bmp
LUGAL,151,266,sign_151.bmp
GAL,343,553,sign_343.bmp
GAG,230,379,sign_230.bmp
MAN,471,708,sign_471.bmp
DIŠ,480,748,sign_480.bmp
DIR,123,207,sign_123.bmp
SUM,164,292,sign_164.bmp
KIŠ,425,678,sign_425.bmp
TIK,106,176,sign_106.bmp
TE,376,589,sign_376.bmp
ÁB,420,672,sign_420.bmp
ŠÌR,152,271,sign_152.bmp
BÁRA,344,554,sign_344.bmp
TIR,375,587,sign_375.bmp
KIN,538,815,sign_538.bmp
TAB,124,209,sign_124.bmp
ZIB,395,628,sign_395.bmp
SIG4,567,905,sign_567.bmp
ZAR,491,767,sign_491.bmp
BAL,9,5,sign_009.bmp
NUN,87,143,sign_087.bmp
BI,214,358,sign_214.bmp
RAB,149,262,sign_149.bmp
ŠE,367,579,sign_367.bmp
IL,205,348,sign_205.bmp
KAM,406,640,sign_406.bmp
GI,85,141,sign_085.bmp
ZAG,332,540,sign_332.bmp
MAR,307,483,sign_307.bmp
ŠÀ,384,599,sign_384.bmp
US,372,583,sign_372.bmp
DIN,465,119,sign_465.bmp
SIG,592,881,sign_592.bmp
HA,589,856,sign_589.bmp
ZA,586,851,sign_586.bmp
A,579,839,sign_579.bmp
UR,575,828,sign_575.bmp
TUG,574,827,sign_574.bmp
LUM,565,900,sign_565.bmp
GU,559,891,sign_559.bmp
NIN,556,887,sign_556.bmp
ŠÚ,545,869,sign_545.bmp
LU,537,812,sign_537.bmp
MEŠ,533,754,sign_533.bmp
KÙ,468,745,sign_468.bmp
AL,298,474,sign_298.bmp
UB,306,504,sign_306.bmp
E,308,498,sign_308.bmp
DUG,309,499,sign_309.bmp
UN,312,501,sign_312.bmp
KID,313,484,sign_313.bmp
RID,314,486,sign_314.bmp
Ú,318,490,sign_318.bmp
GA,319,491,sign_319.bmp
KAL,322,496,sign_322.bmp
RA,328,511,sign_328.bmp
LÚ,330,514,sign_330.bmp
ŠEŠ,331,535,sign_331.bmp
ID,334,560,sign_334.bmp
DA,335,561,sign_335.bmp
ÁŠ,339,548,sign_339.bmp
MA,342,552,sign_342.bmp
GIR,346,558,sign_346.bmp
ŠU,354,567,sign_354.bmp
BIT,324,495,sign_324.bmp
BU,371,580,sign_371.bmp
UD,381,596,sign_381.bmp
PI,383,598,sign_383.bmp
ZAB,393,612,sign_393.bmp
HE,396,631,sign_396.bmp
A',397,635,sign_397.bmp
AH,398,636,sign_398.bmp
IM,399,641,sign_399.bmp
BIR,400,643,sign_400.bmp
SAR,331 e,541,sign_331e.bmp
GUR,111,180,sign_111.bmp
SI,112,181,sign_112.bmp
SAG,115,184,sign_115.bmp
AB,128,223,sign_128.bmp
UG,130,296,sign_130.bmp
AS,131,297,sign_131.bmp
UM,134,238,sign_134.bmp
TA,139,248,sign_139.bmp
I,142,252,sign_142.bmp
GAN,143,253,sign_143.bmp
AD,145,258,sign_145.bmp
IN,148,261,sign_148.bmp
AM,170,309,sign_170.bmp
NE,172,313,sign_172.bmp
QU,191,339,sign_191.bmp
UNUG,195,232,sign_195.bmp
DU,206,350,sign_206.bmp
TUM,207,354,sign_207.bmp
SA,104,172,sign_104.bmp
DIM,94,167,sign_094.bmp
RI,86,142,sign_084.bmp
IG,80,136,sign_080.bmp
NAM,79,134,sign_079.bmp
HU,78,132,sign_078.bmp
TI,73,118,sign_073.bmp
NA,70,110,sign_070.bmp
RU,68,111,sign_068.bmp
MU,61,98,sign_061.bmp
LI,59,85,sign_059.bmp
TU,58,86,sign_058.bmp
ITU,52,20,sign_052.bmp
KA,15,24,sign_015.bmp
AN,13,10,sign_013.bmp
TAR,12,9,sign_012.bmp
SU,7,16,sign_007.bmp
BA,5,14,sign_005.bmp
ZU,6,15,sign_006.bmp
KÁ,133,222,sign_133.bmp
HAR,401,644,sign_401.bmp
U,411,661,sign_411.bmp
MUH,412,663,sign_412.bmp
MI,427,681,sign_427.bmp
UL,441,698,sign_441.bmp
ŠI,449,724,sign_449.bmp
Ù,455,731,sign_455.bmp
DI,457,736,sign_457.bmp
KI,461,737,sign_461.bmp
LÀL,109,[MesZL number],sign_109.bmp
SU4,113,,sign_113.bmp
RAD,83,,sign_83.bmp
TÙM,434,,sign_434.bmp
AŠGAB,"104,6",,sign_151544.bmp
NIGIN,529,,sign_NIGIN.bmp
NAB,129,,sign_NAB.bmp
ÙZ,122 b,,sign_122.bmp
DU6,459 a,,sign_886.bmp
ŠAR,331 e,,sign_887.bmp
SIPA,295 m,,sign_888.bmp
BÀD,152^8,,sign_153.bmp
MUD,81,,sign_81.bmp
AŠ,1,,sign_01.bmp
KAR,376*,,sign_870.bmp
ŠUL,467,,sign_467.bmp
ME,532,,sign_532.bmp
NI,231,,sign_NI.bmp
ŠÁM,187,,sign_187.bmp
LÁ,481,,sign_LÁ.bmp
NIM,433,,sign_433.bmp
KÍD,063 d,,sign_874.bmp
KÁD,063 a,,sign_063.bmp
URU,38,,sign_38.bmp
MAH,57,,sign_57.bmp
QA,62,,sign_62.bmp
BE,69,,sign_69.bmp
APIN,56,,sign_56.bmp
IÁ,598 a,,sign_598.bmp
IA,142 a,,sign_758.bmp
KUL,72,,sign_72.bmp
PAD,469,,sign_PAD.bmp
ZUM,555,,sign_555.bmp
NU,75,,sign_75.bmp
ARAD,50,,sign_050.bmp
ZI,84,,sign_84.bmp
IŠ,212,,sign_212.bmp
KUR,366,,sign_366.bmp
LA,55,,sign_55.bmp
KU,536,,sign_KU.bmp
EN,99,,sign_99.bmp
AG,97,,sign_97.bmp
